Time_sec,ReferenceWingArea_ft2,ReferenceChord_ft,ReferenceSpan_ft,SpeedOfSound_SeaLevel_fps,StaticPressure_SeaLevel_psf,ThrustLimit_lbs,StabCommand_deg,AileronCommand_deg,RudderCommand_deg,Throttle_norm,AircraftWeight_lbs,CGx_pct,Ixx_slft,Iyy_slft,Izz_slft,Ixy_slft,Ixz_slft,Iyz_slft,AltitudeMeanSeaLevel_ft,MachNumber,TrueAirspeed_fps,TrueAirspeed_kt,EquivilantAirspeed_fps,EquivilantAirspeed_kt,AccelGravity_fts2,SpeedOfSound_kt,SpeedOfSound_fps,AirTemperature_r,AirDensity_slugft3,StaticPressure_psf,DynamicPressure_psf,TotalPressure_psf,Alpha_deg,Alpha_dot_dps,Beta_deg,Beta_dot_dps,Gamma_deg,CL0,CD0,CM0,CL_alpha,CD_alpha,CM_alpha,CL_alpha_dot,CM_alpha_dot,CL_q,CM_q,CL_m,CD_m,CM_m,CL_delta_stab,CM_delta_stab,CY_b,Cl_b,CN_b,Cl_p,CN_p,Cl_r,CN_r,Cl_delta_ail,CN_delta_ail,CY_rud,Cl_delta_rud,CN_delta_rud,Thrust_lb,Lon_FX_lbs,Lon_FY_lbs,Lon_FZ_lbs,LatDir_FX_lbs,LatDir_FY_lbs,LatDir_FZ_lbs,Propulsion_FX_lbs,Propulsion_FY_lbs,Propulsion_FZ_lbs,FX_lbs,FY_lbs,FZ_lbs,Lon_MX_ftlbs,Lon_MY_ftlbs,Lon_MZ_ftlbs,LatDir_MX_ftlbs,LatDir_MY_ftlbs,LatDir_MZ_ftlbs,Propulsion_MX_ftlbs,Propulsion_MY_ftlbs,Propulsion_MZ_ftlbs,MX_ftlbs,MY_ftlbs,MZ_ftlbs,U_dot_fps2,V_dot_fps2,W_dot_fps2,P_dot_dps2,Q_dot_dps2,R_dot_dps2,Phi_dot_dps,Theta_dot_dps,Psi_dot_dps,U_fps,V_fps,W_fps,P_dps,Q_dps,R_dps,Phi_deg,Theta_deg,Psi_deg
0,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.906,14.8192,0,0,0,0,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.32,0,-15745.8,0,0,0,10187.6,0,0,-7.79764,0,12.0383,0,14.3346,0,0,0,0,0,0,0,0,14.3346,0,-0.0154039,0,0.0237812,0,0.0140129,0,0,0,0,1684.66,0,445.711,0,0,0,0,14.8192,0
0.005,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.906,14.8192,1.54538e-05,0,0,0,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.32,0,-15745.8,0,0,0,10187.6,0,0,-7.79764,0,12.0383,0,14.3334,0,0,0,0,0,0,0,0,14.3334,0,-0.0154039,0,0.0237812,0,0.0140117,0,0,7.00586e-05,0,1684.66,0,445.711,0,7.00586e-05,0,0,14.8192,0
0.01,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.906,14.8192,1.54538e-05,0,0,-4.07689e-06,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.32,0,-15745.8,0,0,0,10187.6,0,0,-7.79506,0,12.0245,0,14.2395,0,0,0,0,0,0,0,0,14.2395,0,-0.0159438,0,0.0258138,0,0.0139199,0,0,0.000139658,0,1684.66,0,445.711,0,0.000139658,0,0,14.8192,0
0.015,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.906,14.8192,1.66606e-05,0,0,-8.15151e-06,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.32,0,-15745.8,0,0,0,10187.6,0,0,-7.79242,0,12.0096,0,14.1391,0,0,0,0,0,0,0,0,14.1391,0,-0.01648,0,0.0278307,0,0.0138219,0,0,0.000208768,0,1684.66,0,445.711,0,0.000208768,0,0,14.8192,0
0.02,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.906,14.8192,1.78582e-05,0,0,-1.22237e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.31,0,-15745.8,0,0,0,10187.6,0,0,-7.7897,0,11.9935,0,14.0326,0,0,0,0,0,0,0,0,14.0326,0,-0.0170123,0,0.0298311,0,0.0137177,0,0,0.000277356,0,1684.66,0,445.712,0,0.000277356,0,0,14.8192,0
0.025,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.906,14.8193,1.9046e-05,0,0,-1.62932e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.31,0,-15745.8,0,0,0,10187.6,0,0,-7.7869,0,11.9764,0,13.9198,0,0,0,0,0,0,0,0,13.9198,0,-0.0175403,0,0.0318139,0,0.0136075,0,0,0.000345393,0,1684.66,0,445.712,0,0.000345393,0,0,14.8192,0
0.03,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.906,14.8193,2.02235e-05,0,0,-2.03598e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.31,0,-15745.9,0,0,0,10187.6,0,0,-7.78404,0,11.9582,0,13.8009,0,0,0,0,0,0,0,0,13.8009,0,-0.0180639,0,0.0337784,0,0.0134912,0,0,0.000412849,0,1684.66,0,445.712,0,0.000412849,0,0,14.8192,0
0.035,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.906,14.8193,2.13902e-05,0,0,-2.44234e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.3,0,-15745.9,0,0,0,10187.6,0,0,-7.78111,0,11.9389,0,13.676,0,0,0,0,0,0,0,0,13.676,0,-0.0185829,0,0.0357237,0,0.0133691,0,0,0.000479695,0,1684.66,0,445.712,0,0.000479695,0,0,14.8192,0
0.04,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.905,14.8193,2.25456e-05,0,0,-2.84838e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.3,0,-15745.9,0,0,0,10187.6,0,0,-7.7781,0,11.9185,0,13.545,0,0,0,0,0,0,0,0,13.545,0,-0.0190969,0,0.037649,0,0.0132411,0,0,0.0005459,0,1684.66,0,445.712,0,0.0005459,0,0,14.8192,0
0.045,196.1,9.55,21.94,1116.56,2116.23,15600,-5.17812,0,0,0.65305,16300,7,3549,58611,59669,0,0,0,55000,1.79974,1742.62,1032.36,605.006,358.416,32.2,573.615,968.263,389.97,0.000286548,191.821,435.084,626.905,14.8193,2.36891e-05,0,0,-3.25407e-05,0.05,0.0172,0.15,2,0.38,-1.3,0,-2,0,-4.8,-0.2,0,-0.01,0.52,-2.26,-1,-0.09,0.24,-0.27,-0.09,0.15,-0.65,0.017,0.0025,0.05,0.008,-0.04,10187.6,-6026.29,0,-15745.9,0,0,0,10187.6,0,0,-7.77503,0,11.8972,0,13.4081,0,0,0,0,0,0,0,0,13.4081,0,-0.0196059,0,0.0395534,0,0.0131072,0,0,0.000611436,0,1684.66,0,445.712,0,0.000611436,0,0,14.8193,0
